v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,target
-0.8704,-0.85546,-1.1582,-1.10002,-0.71918,0.61792,0.36933,-0.93174,0.63286,0.76923,-1.37102,0.88504,0.42858,0.60126,-1.24938,1.10025,-211.67722814897093
-1.07479,0.40265,0.6894,0.73533,-0.31673,-0.387,-1.88094,0.2566,0.23182,-0.38942,-0.99099,0.09808,-1.38034,0.02286,-0.31757,-0.65174,-150.05610052740147
0.84313,0.32699,-1.50242,-2.34268,0.18268,-0.7872,0.29619,1.62122,0.4788,0.13414,-0.58002,2.87666,-0.58661,-0.96122,0.26118,-2.18265,57.532375522300676
-1.63946,1.62596,-0.99068,0.09597,0.4626,0.4665,-0.36451,-0.22888,-2.53103,0.21124,0.09086,-0.11383,-1.56394,0.31831,0.12759,0.09067,-198.2895301566985
-0.73256,0.78223,-1.24124,0.0837,-0.69841,1.29031,-1.28997,-2.4731,-0.76782,-0.60579,0.02115,-1.63551,1.26858,-2.90382,-0.56343,-0.3045,-119.04716891887614
2.06583,0.10451,0.61955,-1.46589,-0.74835,-1.37151,-0.87195,0.50127,1.52099,1.87635,1.22462,-0.15172,1.45226,0.90716,-0.52476,0.27515,245.16619614451582
1.23533,-0.64309,-1.49813,-0.0064,0.60663,-1.20915,-0.33621,-0.04397,0.04843,1.26949,-1.86527,1.71271,1.27988,-1.73269,1.08287,-0.03158,40.64890788021805
0.82822,1.64937,-0.66196,-0.89071,1.47579,-0.51251,-0.22803,2.26794,0.97353,-0.0133,-1.30031,0.39454,0.77434,0.98708,-0.22894,1.50209,-5.444598143924514
0.56,-1.57884,-1.68814,-0.52987,-3.02213,-0.22016,0.67412,0.19095,0.15985,-0.40303,-0.0329,0.18093,-1.70914,-0.32404,0.07101,0.24935,47.84838332675141
-0.04652,-0.29013,-1.27474,0.5044,1.01778,0.03647,-0.61744,0.35049,-0.34625,0.25019,2.46791,1.27407,1.31436,0.84839,-0.04918,0.07877,142.2011868331237
-0.29493,1.02592,0.59816,0.60636,-0.33642,-0.2381,-1.17719,-0.04526,1.04933,-2.07085,0.763,-1.30561,-0.54446,0.23239,1.61336,0.84631,189.4295182982833
-0.24194,-1.07277,-1.44611,1.16774,2.1657,-1.24578,1.46984,-0.15442,1.44947,0.47851,-2.43525,-0.83801,0.0917,-1.23877,-0.86845,0.07262,-178.59328124022744
-0.81457,-0.01447,0.62689,0.55703,-0.43961,-0.22408,1.95927,-0.6441,1.47981,0.393,-0.93899,0.19376,-1.0066,-0.49618,-0.09379,-0.19592,-62.08231140087267
0.76269,-0.05641,-0.84719,-1.24957,0.27726,0.82713,-0.4289,-0.66986,-1.55211,-1.82819,-1.15796,-1.3629,1.95544,-1.68275,0.79395,0.34879,-30.797226613283534
-0.72327,0.18512,-0.22665,1.69143,0.85211,1.45005,0.40991,-0.15386,0.65572,-0.64865,-1.09448,-0.89916,1.84583,-0.28222,0.91757,0.53528,-27.487622079765487
0.64968,-1.72321,0.96042,-0.10599,0.75776,0.43726,-0.52191,-1.48254,1.68416,-1.69632,-0.92407,0.88516,2.08705,-1.06067,0.42648,-1.87345,83.17514757360759
0.66218,0.48212,0.18833,-0.23661,0.863,0.80163,1.63068,-1.38007,-0.44753,1.49792,1.1189,-0.8599,0.42716,-0.03316,0.58394,0.09128,142.46356182795725
-1.18753,-2.87399,0.07709,0.8673,0.45593,1.06857,-0.23701,1.46294,0.13212,-0.28713,-1.09077,1.67961,-1.5929,0.91025,0.67508,-0.77138,-97.45698532488701
-0.29473,0.36841,-0.10552,-1.3047,0.88106,-0.04512,2.33387,-0.4255,0.56687,1.61212,1.46049,0.73667,-1.27153,-0.00935,0.7284,-0.08073,152.28264676147052
1.18498,0.76214,0.18195,0.60883,0.17117,0.15665,-1.28474,-0.65225,-0.06543,-2.13883,0.53917,-1.04684,0.35676,0.7775,0.94962,0.1805,181.33666600573653
0.45497,-0.90691,0.13854,-0.01781,0.51676,1.08009,0.14527,-1.33051,-1.81087,0.93082,-1.40274,1.24848,0.96964,0.1025,1.81125,0.78223,-5.4170485166967515
-0.39594,-0.34087,1.7234,-0.53721,-0.811,0.54651,-0.3195,-0.48127,-0.11627,-0.09167,-1.21606,-0.66798,0.16371,-0.25102,0.20868,0.65903,-95.88486572716712
-0.80557,1.63956,0.40911,0.83873,-1.29071,-1.20291,-1.51076,-0.11943,0.29938,1.8882,-0.31227,-0.51406,0.12922,-1.37743,-1.56094,1.14119,-173.47356137437657
-0.15044,0.40737,-0.39853,1.52642,0.04745,1.24498,-0.57521,-0.219,-1.67936,-1.30534,0.73374,0.71427,1.26953,-0.97303,0.24554,-0.80634,-12.342714043080147
0.4457,0.02037,1.42427,-0.41514,-0.27078,-0.67406,-1.51967,1.07302,2.15509,1.33806,-0.61602,-0.72629,-0.55039,0.23453,0.65978,-0.68612,125.55700075055566
1.09276,-0.0616,-1.23431,0.76714,1.04863,-0.4698,-1.25333,-1.93026,-0.41636,0.54499,-1.17469,0.3156,-0.10538,0.36242,-1.38253,2.00051,-118.93760134700106
-0.30227,-0.74351,0.95443,0.36247,-1.2253,1.1641,0.33177,1.50946,1.64718,1.31335,0.56561,1.33176,-0.52547,0.24102,0.56715,0.47391,125.477720232719
0.0748,1.70039,2.36854,-0.31626,0.22483,-1.87061,0.41774,0.07256,-0.931,0.75775,-0.74143,1.32937,0.34772,0.7431,-0.34243,0.81358,-105.55783452576804
-0.53444,-1.90301,-0.76696,-0.45859,-0.13467,0.75907,0.02579,-0.75263,-0.26031,1.01893,0.41489,1.47529,0.53457,-0.87911,0.60767,-1.12031,24.830918100609487
1.37064,0.56761,1.39687,1.36372,0.65829,0.87951,-1.26407,-0.30163,0.42596,-1.62771,-0.31759,-1.50954,-0.32673,-0.7009,0.10839,-0.05968,97.28815729570267
0.49117,-0.20356,-0.34188,0.3787,-0.16178,-0.67649,-1.11201,-1.73542,-1.95032,0.68988,-0.06863,-0.98576,-1.04677,-0.55897,-2.48657,0.99822,-228.36485381745905
1.96771,0.52875,-0.68076,0.99193,1.31554,-1.32101,0.68386,0.51562,-0.68829,0.05754,-0.04212,-1.42057,-0.87029,-0.53157,-0.70543,-0.39797,51.89563557092491
-0.86803,-0.28513,1.13032,-1.07763,-2.36469,1.03068,0.82647,0.33426,1.3836,-0.86004,1.18486,1.42961,-0.90302,-0.62827,0.02367,0.89246,78.73984002503248
-0.50488,-0.18564,0.05153,0.20173,-0.61614,0.94129,-0.18175,0.70206,-0.00207,-1.07948,1.4296,1.05202,-1.67768,0.36287,-1.57924,0.7237,-52.31606421475855
-0.34138,-0.86787,0.49409,-0.6299,0.19285,0.13886,0.00958,0.51472,-2.32532,-0.1526,-2.61833,0.65824,-0.04806,0.95,1.34642,-0.64593,-193.4981890777401
0.27689,1.11632,-0.959,-1.3028,0.01788,0.22737,1.06116,-0.09571,-0.71972,0.63083,-1.39433,0.37042,-1.13273,0.1427,1.071,2.33536,-25.314857216975714
-0.51617,0.4137,-0.78305,1.13772,-1.48382,0.44462,0.37685,-0.03369,0.01414,-0.44203,-0.3525,0.14382,0.72274,0.19641,-0.82967,0.52442,-116.0480197693037
0.27043,-0.01291,-1.436,-1.40268,-0.95324,-0.46605,0.98847,-0.91539,-0.82852,-1.03642,1.01548,2.09612,-0.21736,-0.99202,1.14533,-0.31431,133.62759364021917
-1.23624,0.52231,0.53408,0.30115,-0.47601,0.64749,1.51708,1.2754,0.6852,-1.04944,0.90907,0.60043,-0.71728,0.76056,0.51286,0.01174,41.98482497855256
1.83965,1.20234,1.67302,0.53151,0.25438,0.34094,-0.64672,0.15339,2.33426,-0.46066,0.09979,-0.41434,-1.09263,-0.14164,-1.82593,1.38338,96.15980767166981
-1.05357,0.81266,0.93943,-2.76878,0.42009,0.15534,-0.5824,-1.23351,0.19807,-0.55168,-0.26062,-0.19513,0.03048,0.66183,-0.84314,0.4522,-139.64236860172824
0.03141,0.33333,-0.40684,0.19663,1.29514,-1.0347,-0.84195,-0.80332,0.90872,-0.21623,-0.18238,-0.67261,-0.61876,1.55561,0.02437,0.83492,29.776951474097856
-1.43843,-0.7892,-0.81878,-1.21257,-1.84689,-1.14598,0.87532,0.97972,0.45122,0.11632,0.39881,1.26266,-0.07239,0.55182,-1.07888,0.50797,-128.65384068699407
-2.09132,0.51812,1.29358,-0.19652,-0.43695,0.54469,-0.64769,-1.40904,-0.25129,1.29985,0.03668,0.06718,2.06052,2.04907,-0.1372,-2.05131,-158.09351023533375
0.42111,-0.79791,0.37478,-1.15289,0.27921,0.23442,0.11748,0.84831,0.1369,-0.03266,0.21768,1.01669,-0.04113,-1.22865,0.26799,1.33366,68.31300507765394
0.67358,1.82899,0.18877,0.09934,-1.10318,0.41735,-0.19202,0.71117,0.25095,1.99567,-0.83147,-0.16414,-0.66171,-0.94017,-0.26045,1.14774,-17.11392566992389
-0.55549,-0.11364,0.07372,0.11216,0.37204,2.09756,0.24214,0.88459,-0.10208,-0.93886,-1.36235,0.4585,1.55399,-0.24848,0.59975,1.2642,-87.70486713654282
-0.43402,0.65929,1.80828,-1.18837,0.39735,1.18421,0.786,1.28681,0.90164,0.91987,-0.41387,0.72515,2.39939,0.29391,1.22647,3.34361,68.95161566052542
1.46199,0.11375,-0.5566,-1.71008,0.31708,-1.56605,-0.07347,0.66299,-0.30274,0.4749,0.73544,0.99404,0.53675,0.74298,0.0436,-0.82583,138.4173036487066
1.24977,0.95032,-1.42789,-0.31307,-0.23922,0.77107,-0.93376,0.6296,0.01212,0.00953,0.12601,0.24029,-0.43163,0.22705,1.63668,-0.64656,210.76504221251201
2.36812,-1.42972,-1.17596,1.71137,0.21633,-0.66082,0.77022,1.55673,1.34366,0.31156,0.55527,0.17265,-0.3057,-0.21123,-0.61687,-1.07149,207.65534295651094
0.53267,0.57755,-0.44843,-0.9089,-1.56462,-1.32317,1.06355,-1.7424,-0.53834,-2.25605,-0.3842,-0.0436,0.005,1.40265,-2.37213,-0.28272,-180.40879551541835
-0.06179,0.08267,2.55281,-0.75566,0.10958,-1.07409,-1.11952,-0.20218,-0.06726,1.89121,-0.14589,0.04379,0.60689,-0.15054,0.55841,-0.42597,24.13961032356622
1.02863,-0.04424,0.85963,0.61619,-0.2272,-0.09702,2.35462,-1.69732,-0.46085,-0.04067,-1.53879,-0.71658,0.85702,0.14641,0.23553,0.0873,-33.30138917813867
0.56013,-1.02216,0.81068,0.16601,2.09544,0.57999,-0.38436,-0.38943,1.18045,-0.96332,-0.01335,-0.57877,0.23883,0.07974,-1.2175,-0.85597,-1.119053300409707
-1.76433,-1.05928,2.01233,-1.00838,1.0547,1.2257,0.00387,-0.29352,1.29125,-0.41045,-1.78862,-0.30889,-0.50274,0.5797,0.4201,0.73112,-153.08323145219452
0.40733,0.12939,1.22707,-0.53626,0.87635,-0.64539,1.5575,0.66774,-0.80389,0.15838,-1.78713,-0.40854,0.75129,0.01947,0.64299,0.13648,-76.37845004353953
0.11994,0.07327,1.46084,-0.63636,-2.43762,-0.35882,1.79406,-0.60783,-0.61465,-0.43733,0.99855,-0.29705,-0.3652,-0.64204,-2.05429,-0.29137,-97.59672208944856
-0.73025,-0.06398,-0.41424,-1.45757,1.13511,-1.14057,-0.02059,0.37409,-0.15133,-0.01866,0.48772,-0.21644,0.92522,0.56455,0.98033,-1.20354,47.462162151330574
1.64587,-1.26147,-0.44379,-0.24285,-0.52726,-0.82782,-0.60652,1.04478,0.44113,0.17044,1.32093,-0.02704,-1.14812,-1.72295,0.60113,0.1019,259.5739299954343
1.32953,0.47841,-0.40296,0.31423,-0.53394,0.59872,-1.07292,-1.36486,-0.21063,-0.92161,-1.00098,-0.22113,0.13537,0.48791,0.29835,0.6495,37.20778826964247
0.06237,0.97075,0.72234,-0.14889,1.16606,-0.57967,-0.21079,-1.88257,0.76578,-0.30374,1.68371,1.94409,0.49942,0.09495,1.21296,-0.7764,233.86164732106715
0.49802,-0.19706,-0.3331,1.21797,0.85661,-0.20364,0.92773,-0.76718,-0.39124,-1.46853,0.72401,-1.43812,-1.25163,-0.62815,0.28297,1.14686,86.17237002287462
-0.38771,-0.30746,-1.48983,-0.17528,0.75623,-0.74358,-0.48493,0.45615,1.01632,0.63222,-0.09449,-0.26517,2.12343,-1.86044,0.42513,0.21163,40.430516123045386
-1.68259,1.54277,0.6406,0.50941,-1.69986,-0.64085,-1.20222,0.09199,1.14903,0.48585,-1.3331,0.03316,-1.3977,0.14811,1.37085,0.61948,-55.179234543966174
-0.01344,1.17417,-1.51262,1.11781,0.2245,1.10022,0.84415,0.82557,0.16592,-1.25061,0.51539,-0.34807,0.41054,-1.06739,-0.25372,-1.07197,22.454582711723692
0.28181,-0.40828,-0.93554,0.1519,0.82867,-0.73966,-0.23578,-0.50048,-1.0292,-1.46278,-0.03359,0.60254,-1.39752,-0.28966,-1.63918,0.88991,-142.09776131970764
1.42206,0.347,-0.21971,-0.19789,0.50181,1.78444,-0.60119,0.86946,-0.62591,1.68696,-1.11589,-0.31943,-0.29153,0.62921,1.3065,-0.91522,90.9449909974992
0.33251,-0.94863,0.04555,-0.8992,-0.00096,0.14425,0.7472,1.10644,-0.47639,1.24229,0.02181,1.00019,0.99643,-0.28478,0.12849,-0.1095,14.347678010594944
0.819,-0.96401,1.70477,-1.03925,-0.7147,-0.51919,-0.2196,-0.25597,-2.24887,0.27009,0.16431,-2.2393,-0.50353,1.28455,-0.66382,1.21513,-72.87377492643051
-1.89139,0.52931,0.93995,0.90712,1.22637,-1.69139,-1.67821,0.35892,-0.54914,1.37149,-1.51013,-1.67937,-0.91034,0.99371,0.94659,-0.83442,-180.81398875296614
0.93252,0.78502,-0.07237,-0.8694,-1.52075,-1.28516,0.46323,-0.60561,1.28162,0.12932,0.00518,-1.12612,0.12649,0.26659,0.25949,-1.14307,134.98030523641327
1.69474,0.08175,-1.21901,-1.28955,-0.44164,0.51192,-0.44907,0.20941,0.72166,-0.83805,-0.59954,1.58273,0.6448,0.26346,-1.77154,-1.33665,-21.63115441284225
-0.23708,0.13237,-1.25127,-1.93762,0.43582,0.25644,1.28267,-2.02504,-0.14433,0.22137,1.42718,0.42865,0.64896,-1.3951,0.43128,-0.80751,103.68354446034269
1.90285,-0.75542,-0.19737,1.3075,2.55355,-1.83726,-0.03482,0.57779,-1.30281,-0.10292,-1.37862,1.94941,0.82691,0.074,0.14975,0.64876,-4.399543246074543
-1.89146,-0.06635,1.88652,-0.2511,0.25019,-0.62745,0.10255,-2.08572,-2.21826,-1.04226,-0.20846,-0.08014,0.56603,-1.52615,-0.43644,1.14753,-262.54081353172944
-1.25404,-0.05291,1.51264,-1.147,-0.08423,2.192,0.20369,-1.74942,-0.81036,0.64099,0.03329,0.23301,-1.65874,-1.26406,-0.30067,0.93721,-136.42116620583525
-0.10644,0.04563,-0.08433,0.89503,-1.6836,-0.9182,-1.56756,0.15019,0.09562,-0.0845,-0.09356,-0.93448,-0.11435,-2.18397,0.09378,-0.52458,-2.058778102341482
2.42735,-0.68323,-1.10653,0.01576,0.06443,-0.36948,-0.10922,-0.87426,-0.14,0.91417,0.99903,1.301,0.00363,-0.48191,0.52056,0.99412,261.5978651720833
-0.46381,-1.05319,-0.23249,-0.9745,-1.18699,-2.54478,-0.69203,0.91566,-0.60227,0.5838,-0.33409,-0.62642,0.92959,-0.7334,0.3597,-1.57882,-51.25209665409357
0.3756,-0.80048,1.49179,1.48984,1.31874,1.63941,-0.37844,-0.66529,-1.63491,-0.21966,-0.53039,-1.00969,-1.29475,0.78525,-0.27394,-0.67483,-95.55064756638598
-0.57554,1.37558,-0.96943,-1.33603,-0.25412,0.09218,0.91188,0.30631,2.47447,-0.55458,0.93535,-0.93874,-0.27625,0.78342,-0.93561,0.67495,57.78701708328516
0.79671,-0.98339,-0.28141,0.35121,-1.94934,1.46959,-0.39296,1.23397,0.47941,-0.12653,0.74476,0.51418,-0.1056,-0.86938,-1.83973,-1.34828,-8.619051469576815
-0.84247,-0.89662,-0.75274,-0.51406,-0.48929,-0.3509,0.30611,0.33922,0.2691,0.18408,-0.1693,0.56788,-0.84767,-0.88151,-0.83994,-0.25861,-116.39809837450787
-1.55045,-0.07602,1.12358,-0.52602,-0.45961,0.39987,-0.82674,1.55736,0.35726,0.56967,0.4557,-0.45411,0.26546,-0.13491,0.98549,0.94908,11.2849205844376
-0.82839,0.6375,1.14916,0.29731,1.4117,0.69609,0.81077,-1.44735,-1.12995,0.82588,-0.90103,0.62174,2.33292,0.89645,-1.72813,-1.35846,-284.2409428081636
0.23653,-2.16332,-0.44888,-1.11018,0.5351,-0.98764,-0.14597,1.72445,-0.68688,-0.57717,0.05416,0.10296,0.48213,2.70942,-0.37091,-1.52237,-34.45037362965483
-0.65209,-1.07623,1.4938,0.02238,1.74666,-0.47739,0.33895,0.96179,1.04683,1.71119,-0.21176,-0.94241,0.89957,-0.99099,2.16452,0.46472,140.5110530611492
0.65553,0.16513,0.17413,-2.04399,0.44528,-0.1376,1.48212,0.94656,0.22427,-0.08321,-0.92551,0.40259,-0.05308,1.16795,-1.42359,-1.41129,-108.70907818568266
0.94052,0.67613,2.99679,0.61035,-0.92257,-1.27299,-0.45133,0.25057,-1.13068,1.76357,0.56166,-0.62026,-0.99153,-0.95054,0.40016,-0.59822,83.45360448072302
0.72608,-0.1065,-1.34548,0.35101,-0.16429,-0.27156,-1.25346,-0.50546,-0.36003,1.26194,0.74144,-1.97802,-1.46645,1.16371,-1.68987,0.89864,-37.25880860928066
0.84687,0.37879,-1.23358,0.20967,-0.22409,-0.68056,-1.41766,-0.90701,0.76373,0.84944,1.44809,1.42121,1.53353,-0.35493,-0.72335,-1.80227,132.47273732817357
0.80822,1.11192,-0.03557,-2.40539,1.38181,0.17999,-1.31099,-1.06017,-0.2414,-1.05296,2.01119,0.57163,1.21029,0.11839,-0.65587,-1.24821,130.52069198474263
