v_1,v_2,v_3,v_4,v_5,v_6,v_7,v_8,v_9,v_10,v_11,v_12,v_13,v_14,v_15,v_16,v_17,v_18,target
0.68538,-2.99346,0.49051,1.17708,0.39752,4.55488,-0.68064,-0.56509,2.08913,-0.81386,-3.35728,3.21043,-3.53205,-5.99475,-0.60281,-5.69854,-0.63225,-2.38679,1
-3.1918,-1.67521,4.47538,2.00633,-1.9679,-1.21575,-1.01527,1.31998,2.55655,0.68843,-1.88018,0.69433,-0.46486,-9.09543,-0.94076,2.94665,-0.14572,1.8889,0
1.08536,-2.94322,2.19011,-3.65285,-2.03741,1.07275,2.72422,0.27579,-1.37072,-0.42481,-0.02713,2.11965,1.66159,2.25768,-2.10052,-5.27492,-0.8555,-2.19462,1
-0.06971,-1.59058,3.76787,-2.57243,-1.66211,0.53677,1.37953,1.86219,-0.94035,0.12894,-0.19948,-0.98106,1.97691,-1.50668,0.2488,-2.67689,-1.91175,1.0709,0
-2.68088,-3.2088,0.67323,0.35824,-4.77087,0.6947,-0.80704,-2.32823,-1.55264,-0.89551,-0.69468,0.06285,-2.82501,-3.64891,-1.606,1.17299,0.76422,-1.96246,0
-0.46214,-0.61002,0.38299,-0.13572,0.40032,1.11955,-1.31145,-1.04919,-1.06951,0.29994,1.86083,-1.83519,-2.07373,0.66095,-2.55998,2.77999,1.52879,-1.17786,1
-1.03568,0.43244,2.22476,2.32895,-4.61239,-0.77035,-0.94919,-0.37724,-3.53711,-0.29712,2.0459,-0.28915,1.67821,-5.75413,1.16616,2.32507,1.80351,0.4933,1
-3.58307,3.92569,-2.92145,-5.34084,0.68857,-0.09279,0.21173,4.50663,-3.05581,-1.4627,4.56289,-3.70286,1.63955,9.11313,-1.02898,2.61585,-1.41687,1.84799,0
2.65265,0.9568,2.36161,2.45525,0.31764,2.48648,0.86289,3.94588,0.29134,0.8188,1.77895,3.19069,-1.04835,-5.88643,0.06402,-1.6912,0.04416,-3.11477,1
0.59234,-2.9249,2.80684,3.31602,1.33913,3.26881,0.72235,1.69579,-0.75161,-0.4234,0.73778,4.08036,-1.2193,-4.6277,-0.09639,-3.03945,2.65074,-0.99287,1
-3.25105,4.4427,-2.65362,-0.08335,3.05927,1.48137,0.81838,4.48749,2.59919,0.30015,-0.92821,0.93212,-0.02181,-0.53152,0.02437,0.91539,-3.57699,1.22626,1
1.28171,-1.11074,1.94052,1.26543,0.2374,-0.60352,-1.38854,1.22406,-1.72109,0.57959,-1.59009,-0.80127,-4.26129,-2.29133,-0.35126,2.44467,-2.07323,-1.98047,0
0.21516,4.39346,5.04467,1.76613,-0.4059,-2.31751,-4.59072,-0.08803,-0.52456,-0.3277,-3.53611,-4.73562,2.73619,-7.82263,-0.2255,6.61793,1.37497,1.82629,0
1.45459,-2.48563,4.32931,-0.05552,-0.0654,2.27886,-4.82218,1.73887,0.46375,0.71981,0.06767,2.36291,-3.98198,-9.32954,0.05696,-2.26283,-1.40176,-1.45572,1
-1.12818,-1.29532,1.80681,2.31037,1.77696,-1.10292,0.48578,-1.88669,-3.39376,-0.79538,1.15439,-0.04908,-2.8041,1.24168,1.89672,7.14913,-0.55374,-1.96204,1
-5.03665,-2.05173,2.03156,-4.75218,1.52583,5.39483,-1.63409,5.20669,1.28198,0.94091,-1.55422,0.05877,-2.00853,-2.57975,0.81666,-4.57438,-2.44073,1.77309,0
-0.81512,-0.97173,-0.71169,-3.00565,-0.05364,1.63494,-5.29942,2.0595,0.40046,1.66065,1.83849,1.65952,-2.47621,-2.2527,-0.44979,-3.64469,-0.67961,0.99047,1
1.50371,0.22271,-2.34365,-2.81581,2.22797,1.61419,-5.62414,-2.48357,1.57207,0.05326,-0.89271,-3.78421,-7.12185,0.74305,0.29693,2.18496,-3.10649,-2.88567,0
0.25902,-2.35412,4.50332,-2.55168,-4.26494,0.74933,0.85098,1.90912,-0.17598,-0.77167,-1.54032,-0.58554,0.24292,-5.09194,-1.36193,-3.13464,-2.47759,-1.01756,0
1.07084,-1.23406,0.22909,2.03543,-0.25949,2.59948,-0.33922,1.45522,-4.20683,-0.50186,-2.45452,-0.78158,-1.39612,-2.66809,0.88885,-4.51565,-1.55286,1.26351,0
-2.28209,0.27085,0.18222,-1.31855,0.92476,1.30766,-3.73067,1.19504,1.27932,-1.08515,-0.23313,-2.54074,-2.65285,-1.8402,-1.49358,2.04305,0.38872,1.02027,0
0.05632,-1.29792,4.13083,-3.25433,-2.20184,-0.77382,0.90164,-0.24051,-1.48822,0.03406,3.18493,-0.28955,2.62693,0.94121,1.96467,1.07361,1.00879,-1.20323,1
0.84835,-0.83044,-2.61271,-3.14556,-1.83386,-0.12194,-1.47364,-2.08186,3.21587,-0.42152,3.24031,-2.28254,-0.43465,1.92936,0.16567,-2.07762,0.37141,1.10417,0
-3.40676,-0.29311,-0.00392,1.08571,-0.51171,-0.19312,-1.77584,1.13628,-0.9825,-0.7017,-0.94811,-2.07149,-6.22143,-2.29598,-0.14793,6.92926,-2.50005,-1.83268,1
-0.72288,0.86914,0.17953,-1.07047,0.03159,0.23359,-0.67476,0.99132,-0.38495,1.93298,-1.9669,0.71039,2.82393,-1.67988,0.62539,-3.76,-1.99622,3.04639,0
0.6703,2.12213,4.70362,-3.98097,-0.83154,-4.02829,0.4227,-1.47579,2.37594,0.15197,-2.70559,0.53748,8.12461,-0.55665,0.34278,0.14981,-0.54818,1.41602,0
-0.94422,-1.17354,3.34303,1.89622,2.07906,2.91801,-1.96532,1.16958,-2.02656,-1.05911,3.15207,1.20595,-7.5211,-6.19276,-0.97894,6.39901,-3.83908,-4.70674,1
1.97234,1.89245,-0.78889,0.455,0.59569,0.96779,-1.9931,-0.87253,-2.19771,-0.1087,-2.38588,-2.39801,-0.14379,-0.9688,2.95653,-1.26012,-1.48861,0.36759,0
-1.21904,-0.37553,-2.5849,4.36696,0.00773,2.85295,-1.18139,-0.08805,-1.64906,0.04402,3.00774,0.74373,-7.16075,-2.98227,-0.9865,4.32372,0.57346,-3.71503,1
-0.22635,-2.07124,1.42996,-1.43438,-0.52715,1.62979,1.60989,-0.32169,-1.16432,-0.38282,0.07527,0.24115,-0.56015,1.69234,0.71781,-0.88004,0.66622,-2.30008,1
-0.23023,-2.72116,2.45859,-2.85975,-1.22023,-3.37992,1.61723,2.03283,-0.90843,0.07622,-0.7807,-0.36372,0.06536,4.20231,0.55399,0.55973,-1.1562,0.10984,1
0.52641,-0.68705,0.65771,-0.01233,-1.66943,1.63727,-2.38117,0.53248,0.03197,-0.73016,-0.15369,-2.97414,-1.04268,-4.48557,-0.93842,-2.39827,-0.25608,2.08622,0
-3.57718,-0.15147,1.4972,-2.94807,0.50237,-0.84487,2.16684,4.17857,-4.15327,0.29677,4.20279,-0.6912,4.20083,6.36725,1.03737,0.49582,0.85868,4.02486,0
2.15437,-1.47474,-0.32322,-2.35242,-2.59806,-1.10527,3.03411,0.07296,-1.72825,-0.10988,2.13566,-2.56221,0.47871,5.08498,-0.6499,-1.65441,-1.23158,-0.62341,1
0.25258,-2.50136,4.2204,-2.0661,-0.01874,0.95673,-3.80981,5.66632,-0.81674,0.42337,0.54285,1.68663,-2.24091,-4.47755,0.45857,-3.40651,-0.38084,0.77403,1
-1.39399,-0.34247,2.24612,2.43848,-2.36837,0.82,-2.59934,0.79738,-1.18457,0.27434,1.20643,-3.70781,-2.83452,-6.28972,0.505,4.41405,1.91136,0.40264,1
-2.57405,0.20659,3.008,-0.64902,-2.16168,-0.5092,-1.01365,1.23359,0.21563,-0.73247,1.22453,-1.6576,-0.33256,-5.02626,-0.19542,3.82752,-1.71176,0.76919,0
-3.35092,-1.92712,1.38402,0.29516,-0.94312,4.01404,1.9784,-2.26017,-0.99117,-0.16383,-2.08866,1.41768,-0.46743,-3.09699,-0.33447,-0.60792,-0.47887,-2.14526,1
-0.80632,-1.39142,1.1919,-3.59908,-0.22764,-0.3085,-2.25744,-0.99504,-0.36576,-1.48767,1.05012,-0.34814,0.19224,-0.3327,-0.74956,-1.22337,-3.16947,1.79389,0
1.63309,3.53192,1.85373,1.19099,-4.27584,-3.46288,0.04116,0.3592,-4.20603,-0.64067,5.00531,-3.26705,1.55166,-3.09174,-0.87648,6.41399,-2.79462,-0.32437,1
-4.62672,2.96111,3.49117,-1.74104,-2.77801,-4.89694,0.452,3.36325,0.80849,-0.4361,0.57731,-2.63607,3.04415,-0.27722,1.90673,9.28819,1.03466,1.01501,0
-0.19793,0.80995,1.52404,-0.26279,-0.1721,-2.57653,-0.98107,-0.01602,-0.84309,-0.42335,-0.84185,-0.21663,2.267,-0.00373,0.37133,1.66874,0.28141,1.5543,0
-1.85129,-0.58198,0.6106,0.05684,-0.20122,2.9298,-1.82188,2.59636,-0.03104,0.47172,2.00844,-1.0269,0.0964,-5.98921,-0.12825,-3.92794,-2.37384,5.13289,0
1.72776,-1.97163,1.63446,4.78633,1.98798,0.23668,-0.80381,0.72,-3.87861,-1.27048,-0.93559,-1.26891,-2.32483,-2.15259,-0.71572,0.35016,0.59399,2.11764,0
0.77127,-0.05749,0.59306,-1.05052,2.68184,0.92755,1.41718,-1.46806,0.46937,-0.67391,-1.03688,-1.64999,-1.83818,1.28784,0.34025,1.6242,-4.75819,-1.39403,1
0.49767,0.5151,3.45309,-0.24161,-0.25137,1.38282,0.77184,1.2307,-0.37261,-0.46864,-0.46217,2.19608,1.2352,-4.00204,-1.13177,-0.59879,-0.89094,-2.28226,1
-0.10953,1.10863,2.0219,-0.39434,-2.03836,-2.55552,1.97624,-0.41597,-2.49906,-1.24532,3.09597,-0.31155,2.57715,0.11377,-0.75668,3.70149,-2.33348,-0.1198,1
-3.8149,-0.25242,-3.52278,3.3094,1.82865,2.90632,0.17786,0.97761,-0.62355,-0.33416,1.6497,1.07833,-4.5984,-1.01971,0.14582,2.07819,-1.00584,0.39168,1
1.15007,-0.02049,0.29057,2.66891,1.88855,-0.46271,2.30466,-1.40789,-0.75204,0.99912,1.21125,2.71093,2.02651,0.98386,1.29454,0.27875,1.11877,-0.03335,1
-3.27763,-0.53433,-3.10937,1.95168,-0.68819,1.42126,-0.80012,-1.71526,-4.49813,-0.40904,5.18561,-2.30593,-9.06077,1.82656,-0.93162,10.03445,-2.28553,-4.86598,1
-2.70572,0.88355,2.88491,2.15069,-0.0985,0.45944,2.38279,-1.22728,-2.43547,-0.378,0.06544,-0.22158,2.27612,-1.82614,0.15083,5.06142,0.97047,-0.60261,1
-1.14721,-0.99318,5.40573,1.57802,-0.80239,-2.08219,2.19305,5.17909,-0.35405,-0.64935,1.43212,0.89108,2.20636,-4.47617,-0.61428,1.44746,-0.64638,2.98166,1
0.41214,-2.07253,5.87193,3.22782,5.10458,1.0919,5.56515,0.41855,-1.70151,1.61284,-0.72921,3.80574,3.43713,0.94376,1.15218,0.92739,2.05699,-0.67004,1
-1.39714,0.81489,-0.47333,-0.3957,-4.51387,-1.05494,-0.85882,-2.06713,2.70276,0.01753,1.56443,-2.40031,2.5277,-2.7425,-0.49614,1.22643,3.54178,1.47677,0
-1.94604,-0.08198,-0.63572,1.3221,-0.24685,-2.0914,-3.01192,0.47265,-2.13768,-1.17761,2.07807,-2.52085,-10.42347,0.4406,0.03883,12.83021,-2.52295,-5.84628,1
4.30605,0.95205,1.1163,0.46439,-5.43278,0.9372,-3.06488,-3.08259,2.86992,0.04658,1.88013,0.62479,-2.0034,-13.39444,0.62104,-2.28981,-5.8491,-2.77085,0
0.03411,-0.63571,2.40976,-2.68965,-0.69998,-1.18163,2.54253,-0.43378,-3.49882,0.92131,-3.85682,1.19415,6.58695,2.94616,-0.25756,-5.23028,-1.63691,2.48405,0
0.47908,-1.07096,1.14098,-1.89277,1.92391,1.37503,-0.18124,-3.89069,-0.47972,2.21377,3.07317,-3.10987,-2.72661,3.36885,-0.84668,5.14115,-0.22808,-3.27893,1
-1.28119,-0.76861,-0.36768,-3.23605,2.27887,0.18027,1.25171,-1.03997,1.30142,-0.53778,0.88116,2.74399,3.97493,3.44226,1.15521,-4.07998,-1.81416,2.95623,1
1.1336,2.59776,1.76873,-0.11848,1.581,-1.58991,0.97587,-1.44014,-4.57776,-0.92351,-4.16702,0.46294,5.99692,3.31062,0.36828,-0.34477,0.42477,0.5484,0
-0.69941,-0.47657,-4.15741,-6.30028,-1.83024,1.82897,0.40142,1.29035,-0.17396,0.68287,6.1177,-1.58431,0.29386,6.28614,0.20155,-5.41982,-2.80393,1.75487,0
-3.40589,1.16108,5.90692,-0.92146,-1.46271,-3.52727,-0.95622,2.44572,0.64944,1.67654,-1.48663,-0.47649,3.74347,-5.48822,-0.60499,4.8596,-1.01391,2.93865,0
1.20438,0.00854,-1.88714,-3.81,-0.0207,-0.37895,-2.59841,-1.45218,0.95297,1.41817,2.42963,-3.48874,-3.39377,4.30529,-1.86295,2.12314,-0.84895,-1.94724,0
-2.59863,-1.02475,3.12484,1.81834,-1.15715,1.21874,-0.33215,1.49351,-1.66056,0.00116,-2.06036,0.31881,-0.10643,-4.86968,-0.23171,1.08692,1.63837,0.30475,1
-0.57752,-2.77669,2.55299,0.01982,-1.15021,-0.56698,2.65569,-0.84794,-1.39978,0.74695,-1.69307,0.18904,0.07413,-0.0502,0.612,0.176,-1.53455,-0.54426,0
-2.47605,-2.86111,3.33211,-1.43274,3.30157,-0.08645,-1.81881,2.23506,0.09219,0.44507,-2.49985,2.17582,-0.28771,-0.43731,-0.94734,-1.16049,-0.45983,2.69212,1
